,단어,부정,긍정
380,b,-0.070447065,0.013694128
381,bp,0.030754926,0.0036992505
382,c,-0.024687763,0.013335386
383,ch,0.012872456,-0.038140945
384,cm,-0.03238568,0.05097824
385,co,-0.006091223,-0.042371184
386,com,0.013466056,-0.0058364514
387,ct,0.010252812,-0.048464004
388,d,0.01240487,0.032989144
389,e,0.011710458,0.0071076197
390,ed,-0.08422293,-0.04423282
391,el,0.020824898,-0.016532408
392,en,0.005556543,-0.035909183
393,ent,0.046924416,-0.070833646
394,er,0.03343536,0.0077490415
395,es,0.032101262,-0.0153200105
396,est,0.006036221,-0.035486255
397,et,0.060894728,-0.016448498
398,f,-0.04313191,-0.035788614
399,g,-0.06966291,0.005790877
400,go,0.041514833,-0.022973862
401,h,-0.011199888,0.03297043
402,ha,-0.036147043,-0.046112463
403,ho,-0.018134758,-0.066052705
404,http,0.041885853,-0.057412285
405,i,-0.05932492,-0.031547114
406,ic,-0.06267403,-0.008126818
407,id,-0.08053308,-0.051934168
408,il,-0.049053878,-0.00073022395
409,in,-0.023924967,-0.034664314
410,ing,-0.04350513,-0.044367366
411,ir,-0.04667065,0.057027258
412,is,-0.0010214249,-0.045107514
413,it,-0.0042468337,-0.05721038
414,j,0.10812631,-0.097337335
415,k,-0.0070272014,-0.027795542
416,kW,0.043241512,0.022523358
417,kg,0.017409809,0.041885395
418,km,0.015642632,-0.018769398
419,kr,-0.008330187,-0.06178569
420,l,-0.051445305,-0.06910144
421,le,-0.011761679,-0.063131794
422,lo,0.01965534,-0.06718744
423,m,-0.03402127,-0.041849017
424,mm,-0.011505964,0.011277534
425,n,0.022318728,-0.062372178
426,net,0.012939971,-0.087630436
427,o,0.007834711,-0.06552797
428,ol,0.0020488463,-0.05732952
429,on,0.006648119,-0.04535622
430,or,-0.016271282,0.015494883
431,ow,-0.02379845,-0.042679876
432,p,0.046824537,-0.018099288
433,q,0.01616732,-0.038096115
434,quot,-0.0067121936,-0.031934485
435,r,0.008556784,-0.008288939
436,ra,0.011825784,-0.03381867
437,re,0.0004817173,0.017599395
438,ri,-0.031600975,-0.02050341
439,ro,0.06313326,-0.0016031042
440,s,-0.016158346,0.00917599
441,st,-0.056891702,-0.010991553
442,t,0.0093073705,-0.03153277
443,ter,0.002501795,-0.020476002
444,th,0.00552636,-0.0030769203
445,tion,0.003568248,0.018927362
446,u,0.008417835,-0.025308006
447,ul,0.018363442,-0.059521955
448,um,0.047619373,-0.014008246
449,un,-0.09220716,-0.11383792
450,ur,-0.019453954,-0.01620762
451,us,0.023424309,-0.03556124
452,ut,0.023251701,-0.060717843
453,v,-0.004371073,-0.025882838
454,ver,-0.021821909,-0.021754796
455,w,0.0012220871,-0.05870398
456,www,0.01932308,-0.030178495
457,x,0.0534969,-0.04950863
